Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,462.562500,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
2,,462.587500,,0.000000,TSQL,88.5,118.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
3,,462.612500,,0.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
4,,462.637500,,0.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
5,,462.662500,,0.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
6,,462.687500,,0.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
7,,462.712500,,0.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
8,,467.562500,,0.000000,DTCS,88.5,88.5,243,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
9,,467.587500,,0.000000,DTCS,88.5,88.5,032,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
10,,467.612500,,0.000000,DTCS,88.5,88.5,047,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
11,,467.637500,,0.000000,DTCS,88.5,88.5,051,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
12,,467.662500,,0.000000,DTCS,88.5,88.5,053,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
13,,467.687500,,0.000000,DTCS,88.5,88.5,065,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
14,,467.712500,,0.000000,DTCS,88.5,88.5,116,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
15,,462.550000,,0.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,,,,,
16,,462.575000,,0.000000,DTCS,88.5,88.5,743,RR,023,Tone->Tone,NFM,5.00,,50W,,,,,
